localidad;year;grupo_de_edad;sexo;casos;grupo_etario;poblacion;tasa_por_100000
santa fe;2015;Todos los grupos;Mujer;1;;54564.0;1.8327102118613003
san cristobal;2015;05 a 09;Hombre;0;Niño;;
san cristobal;2015;10 a 14;Hombre;0;Niño;;
san cristobal;2015;15 a 17;Hombre;0;Joven;;
san cristobal;2015;18 a 19;Hombre;0;Joven;;
san cristobal;2015;20 a 24;Hombre;5;Joven;;
san cristobal;2015;25 a 29;Hombre;1;Adulto;;
san cristobal;2015;30 a 34;Hombre;1;Adulto;;
san cristobal;2015;35 a 39;Hombre;1;Adulto;;
san cristobal;2015;40 a 44;Hombre;2;Adulto;;
san cristobal;2015;45 a 49;Hombre;1;Adulto;;
san cristobal;2015;50 a 54;Hombre;0;Adulto;;
san cristobal;2015;55 a 59;Hombre;1;Adulto;;
san cristobal;2015;60 a 64;Hombre;0;Adulto Mayor;;
san cristobal;2015;65 a 69;Hombre;1;Adulto Mayor;;
san cristobal;2015;70 a 74;Hombre;1;Adulto Mayor;;
san cristobal;2015;75 a 79;Hombre;0;Adulto Mayor;;
san cristobal;2015;80 y más;Hombre;0;Adulto Mayor;;
san cristobal;2015;Todos los grupos;Hombre;14;;198396.0;7.056593882941189
san cristobal;2015;05 a 09;Mujer;0;Niño;;
san cristobal;2015;10 a 14;Mujer;0;Niño;;
san cristobal;2015;15 a 17;Mujer;0;Joven;;
san cristobal;2015;18 a 19;Mujer;1;Joven;;
san cristobal;2015;20 a 24;Mujer;0;Joven;;
san cristobal;2015;25 a 29;Mujer;0;Adulto;;
san cristobal;2015;30 a 34;Mujer;1;Adulto;;
san cristobal;2015;35 a 39;Mujer;0;Adulto;;
san cristobal;2015;40 a 44;Mujer;0;Adulto;;
san cristobal;2015;45 a 49;Mujer;1;Adulto;;
san cristobal;2015;50 a 54;Mujer;0;Adulto;;
san cristobal;2015;55 a 59;Mujer;0;Adulto;;
san cristobal;2015;60 a 64;Mujer;0;Adulto Mayor;;
san cristobal;2015;65 a 69;Mujer;0;Adulto Mayor;;
san cristobal;2015;70 a 74;Mujer;0;Adulto Mayor;;
san cristobal;2015;75 a 79;Mujer;0;Adulto Mayor;;
san cristobal;2015;80 y más;Mujer;0;Adulto Mayor;;
san cristobal;2015;Todos los grupos;Mujer;3;;207629.0;1.4448848667575338
usme;2015;05 a 09;Hombre;0;Niño;;
usme;2015;10 a 14;Hombre;0;Niño;;
usme;2015;15 a 17;Hombre;0;Joven;;
usme;2015;18 a 19;Hombre;1;Joven;;
usme;2015;20 a 24;Hombre;2;Joven;;
usme;2015;25 a 29;Hombre;2;Adulto;;
usme;2015;30 a 34;Hombre;1;Adulto;;
usme;2015;35 a 39;Hombre;0;Adulto;;
usme;2015;40 a 44;Hombre;0;Adulto;;
usme;2015;45 a 49;Hombre;0;Adulto;;
usme;2015;50 a 54;Hombre;1;Adulto;;
usme;2015;55 a 59;Hombre;3;Adulto;;
usme;2015;60 a 64;Hombre;0;Adulto Mayor;;
usme;2015;65 a 69;Hombre;0;Adulto Mayor;;
usme;2015;70 a 74;Hombre;0;Adulto Mayor;;
usme;2015;75 a 79;Hombre;1;Adulto Mayor;;
usme;2015;80 y más;Hombre;0;Adulto Mayor;;
usme;2015;Todos los grupos;Hombre;11;;214039.0;5.139250323539168
usme;2015;05 a 09;Mujer;0;Niño;;
usme;2015;10 a 14;Mujer;0;Niño;;
usme;2015;15 a 17;Mujer;0;Joven;;
usme;2015;18 a 19;Mujer;1;Joven;;
usme;2015;20 a 24;Mujer;2;Joven;;
usme;2015;25 a 29;Mujer;1;Adulto;;
usme;2015;30 a 34;Mujer;0;Adulto;;
usme;2015;35 a 39;Mujer;0;Adulto;;
usme;2015;40 a 44;Mujer;0;Adulto;;
usme;2015;45 a 49;Mujer;0;Adulto;;
usme;2015;50 a 54;Mujer;0;Adulto;;
usme;2015;55 a 59;Mujer;0;Adulto;;
usme;2015;60 a 64;Mujer;0;Adulto Mayor;;
usme;2015;65 a 69;Mujer;0;Adulto Mayor;;
usme;2015;70 a 74;Mujer;0;Adulto Mayor;;
usme;2015;75 a 79;Mujer;0;Adulto Mayor;;
usme;2015;80 y más;Mujer;0;Adulto Mayor;;
usme;2015;Todos los grupos;Mujer;4;;218685.0;1.8291149370098543
tunjuelito;2015;05 a 09;Hombre;0;Niño;;
tunjuelito;2015;10 a 14;Hombre;0;Niño;;
tunjuelito;2015;15 a 17;Hombre;0;Joven;;
tunjuelito;2015;18 a 19;Hombre;0;Joven;;
tunjuelito;2015;20 a 24;Hombre;1;Joven;;
tunjuelito;2015;25 a 29;Hombre;0;Adulto;;
tunjuelito;2015;30 a 34;Hombre;1;Adulto;;
tunjuelito;2015;35 a 39;Hombre;1;Adulto;;
tunjuelito;2015;40 a 44;Hombre;0;Adulto;;
tunjuelito;2015;45 a 49;Hombre;0;Adulto;;
tunjuelito;2015;50 a 54;Hombre;1;Adulto;;
tunjuelito;2015;55 a 59;Hombre;0;Adulto;;
tunjuelito;2015;60 a 64;Hombre;0;Adulto Mayor;;
tunjuelito;2015;65 a 69;Hombre;0;Adulto Mayor;;
tunjuelito;2015;70 a 74;Hombre;0;Adulto Mayor;;
tunjuelito;2015;75 a 79;Hombre;0;Adulto Mayor;;
tunjuelito;2015;80 y más;Hombre;0;Adulto Mayor;;
tunjuelito;2015;Todos los grupos;Hombre;4;;99269.0;4.029455318377338
tunjuelito;2015;05 a 09;Mujer;0;Niño;;
tunjuelito;2015;10 a 14;Mujer;0;Niño;;
tunjuelito;2015;15 a 17;Mujer;0;Joven;;
tunjuelito;2015;18 a 19;Mujer;0;Joven;;
tunjuelito;2015;20 a 24;Mujer;0;Joven;;
tunjuelito;2015;25 a 29;Mujer;0;Adulto;;
tunjuelito;2015;30 a 34;Mujer;0;Adulto;;
tunjuelito;2015;35 a 39;Mujer;1;Adulto;;
tunjuelito;2015;40 a 44;Mujer;0;Adulto;;
tunjuelito;2015;45 a 49;Mujer;0;Adulto;;
tunjuelito;2015;50 a 54;Mujer;0;Adulto;;
tunjuelito;2015;55 a 59;Mujer;0;Adulto;;
tunjuelito;2015;60 a 64;Mujer;0;Adulto Mayor;;
tunjuelito;2015;65 a 69;Mujer;0;Adulto Mayor;;
tunjuelito;2015;70 a 74;Mujer;0;Adulto Mayor;;
tunjuelito;2015;75 a 79;Mujer;0;Adulto Mayor;;
tunjuelito;2015;80 y más;Mujer;0;Adulto Mayor;;
tunjuelito;2015;Todos los grupos;Mujer;1;;100779.0;0.9922702150249556
bosa;2015;05 a 09;Hombre;0;Niño;;
bosa;2015;10 a 14;Hombre;0;Niño;;
bosa;2015;15 a 17;Hombre;2;Joven;;
bosa;2015;18 a 19;Hombre;0;Joven;;
bosa;2015;20 a 24;Hombre;2;Joven;;
bosa;2015;25 a 29;Hombre;0;Adulto;;
bosa;2015;30 a 34;Hombre;2;Adulto;;
bosa;2015;35 a 39;Hombre;0;Adulto;;
bosa;2015;40 a 44;Hombre;1;Adulto;;
bosa;2015;45 a 49;Hombre;1;Adulto;;
bosa;2015;50 a 54;Hombre;0;Adulto;;
bosa;2015;55 a 59;Hombre;0;Adulto;;
bosa;2015;60 a 64;Hombre;0;Adulto Mayor;;
bosa;2015;65 a 69;Hombre;0;Adulto Mayor;;
bosa;2015;70 a 74;Hombre;0;Adulto Mayor;;
bosa;2015;75 a 79;Hombre;0;Adulto Mayor;;
bosa;2015;80 y más;Hombre;0;Adulto Mayor;;
bosa;2015;Todos los grupos;Hombre;8;;316343.0;2.5289005920788514
bosa;2015;05 a 09;Mujer;0;Niño;;
bosa;2015;10 a 14;Mujer;0;Niño;;
bosa;2015;15 a 17;Mujer;0;Joven;;
bosa;2015;18 a 19;Mujer;0;Joven;;
bosa;2015;20 a 24;Mujer;1;Joven;;
bosa;2015;25 a 29;Mujer;0;Adulto;;
bosa;2015;30 a 34;Mujer;0;Adulto;;
bosa;2015;35 a 39;Mujer;0;Adulto;;
bosa;2015;40 a 44;Mujer;0;Adulto;;
bosa;2015;45 a 49;Mujer;0;Adulto;;
bosa;2015;50 a 54;Mujer;0;Adulto;;
bosa;2015;55 a 59;Mujer;0;Adulto;;
bosa;2015;60 a 64;Mujer;0;Adulto Mayor;;
bosa;2015;65 a 69;Mujer;0;Adulto Mayor;;
bosa;2015;70 a 74;Mujer;0;Adulto Mayor;;
bosa;2015;75 a 79;Mujer;0;Adulto Mayor;;
bosa;2015;80 y más;Mujer;0;Adulto Mayor;;
bosa;2015;Todos los grupos;Mujer;1;;330490.0;0.30258101606705196
kennedy;2015;05 a 09;Hombre;0;Niño;;
kennedy;2015;10 a 14;Hombre;0;Niño;;
kennedy;2015;15 a 17;Hombre;1;Joven;;
kennedy;2015;18 a 19;Hombre;3;Joven;;
kennedy;2015;20 a 24;Hombre;3;Joven;;
kennedy;2015;25 a 29;Hombre;1;Adulto;;
kennedy;2015;30 a 34;Hombre;5;Adulto;;
kennedy;2015;35 a 39;Hombre;3;Adulto;;
